"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409802","1.1.1.1","13.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409803","1.1.1.2","12.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409804","1.1.1.3","13.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409805","1.1.1.4","4050","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409806","1.1.1.5","3782","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","High 95% confidence interval, number of persons","Number","223","thousands","3","v1331409807","1.1.1.6","4318","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409808","1.1.2.1","34.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409809","1.1.2.2","33.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409810","1.1.2.3","35.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409811","1.1.2.4","10665","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Low 95% confidence interval, number of persons","Number","223","thousands","3","v1331409812","1.1.2.5","10287","","","","0"
