GEO,Gender,Indicators,VALUE
Alberta,Men,Always or often feels lonely,12.144444444444444
Alberta,Men,Rarely or never feels lonely,56.65555555555555
Alberta,Men,Sometimes feels lonely,31.58888888888889
Alberta,Women,Always or often feels lonely,14.788888888888888
Alberta,Women,Rarely or never feels lonely,46.833333333333336
Alberta,Women,Sometimes feels lonely,38.71111111111111
British Columbia,Men,Always or often feels lonely,12.277777777777779
British Columbia,Men,Rarely or never feels lonely,58.111111111111114
British Columbia,Men,Sometimes feels lonely,29.944444444444443
British Columbia,Women,Always or often feels lonely,15.58888888888889
British Columbia,Women,Rarely or never feels lonely,44.53333333333333
British Columbia,Women,Sometimes feels lonely,40.099999999999994
Manitoba,Men,Always or often feels lonely,12.922222222222224
Manitoba,Men,Rarely or never feels lonely,55.01111111111111
Manitoba,Men,Sometimes feels lonely,32.766666666666666
Manitoba,Women,Always or often feels lonely,16.077777777777776
Manitoba,Women,Rarely or never feels lonely,46.855555555555554
Manitoba,Women,Sometimes feels lonely,37.56666666666667
New Brunswick,Men,Always or often feels lonely,12.644444444444444
New Brunswick,Men,Rarely or never feels lonely,58.14444444444444
New Brunswick,Men,Sometimes feels lonely,29.77777777777778
New Brunswick,Women,Always or often feels lonely,18.144444444444446
New Brunswick,Women,Rarely or never feels lonely,47.3
New Brunswick,Women,Sometimes feels lonely,35.05555555555556
Newfoundland and Labrador,Men,Always or often feels lonely,10.166666666666666
Newfoundland and Labrador,Men,Rarely or never feels lonely,69.41111111111111
Newfoundland and Labrador,Men,Sometimes feels lonely,21.200000000000003
Newfoundland and Labrador,Women,Always or often feels lonely,16.177777777777777
Newfoundland and Labrador,Women,Rarely or never feels lonely,47.544444444444444
Newfoundland and Labrador,Women,Sometimes feels lonely,36.87777777777777
Nova Scotia,Men,Always or often feels lonely,10.822222222222223
Nova Scotia,Men,Rarely or never feels lonely,57.233333333333334
Nova Scotia,Men,Sometimes feels lonely,32.55555555555556
Nova Scotia,Women,Always or often feels lonely,17.633333333333333
Nova Scotia,Women,Rarely or never feels lonely,47.02222222222222
Nova Scotia,Women,Sometimes feels lonely,35.833333333333336
Ontario,Men,Always or often feels lonely,12.511111111111111
Ontario,Men,Rarely or never feels lonely,56.044444444444444
Ontario,Men,Sometimes feels lonely,31.555555555555557
Ontario,Women,Always or often feels lonely,15.08888888888889
Ontario,Women,Rarely or never feels lonely,47.23333333333333
Ontario,Women,Sometimes feels lonely,37.75555555555555
Prince Edward Island,Men,Always or often feels lonely,11.255555555555556
Prince Edward Island,Men,Rarely or never feels lonely,61.333333333333336
Prince Edward Island,Men,Sometimes feels lonely,28.08888888888889
Prince Edward Island,Women,Always or often feels lonely,14.899999999999999
Prince Edward Island,Women,Rarely or never feels lonely,50.18888888888889
Prince Edward Island,Women,Sometimes feels lonely,35.400000000000006
Quebec,Men,Always or often feels lonely,12.333333333333334
Quebec,Men,Rarely or never feels lonely,60.599999999999994
Quebec,Men,Sometimes feels lonely,27.266666666666666
Quebec,Women,Always or often feels lonely,15.755555555555556
Quebec,Women,Rarely or never feels lonely,51.888888888888886
Quebec,Women,Sometimes feels lonely,32.48888888888889
Saskatchewan,Men,Always or often feels lonely,13.355555555555556
Saskatchewan,Men,Rarely or never feels lonely,56.93333333333333
Saskatchewan,Men,Sometimes feels lonely,30.32222222222222
Saskatchewan,Women,Always or often feels lonely,12.855555555555556
Saskatchewan,Women,Rarely or never feels lonely,50.13333333333333
Saskatchewan,Women,Sometimes feels lonely,37.599999999999994
