,GEO,Gender,Indicators,UOM,VALUE
126,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,8.5
127,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,4.1
128,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,15.1
132,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,20.1
133,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,11.5
134,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,31.3
138,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,71.4
139,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,59.9
140,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,81.2
144,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,14.7
145,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,9.7
146,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,20.8
150,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,38.0
151,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,30.8
152,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,45.6
156,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,47.4
157,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,40.1
158,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,54.7
180,Prince Edward Island,Men,Always or often feels lonely,Percent,9.8
181,Prince Edward Island,Men,Always or often feels lonely,Percent,5.7
182,Prince Edward Island,Men,Always or often feels lonely,Percent,15.5
186,Prince Edward Island,Men,Sometimes feels lonely,Percent,29.0
187,Prince Edward Island,Men,Sometimes feels lonely,Percent,22.0
188,Prince Edward Island,Men,Sometimes feels lonely,Percent,36.8
192,Prince Edward Island,Men,Rarely or never feels lonely,Percent,61.2
193,Prince Edward Island,Men,Rarely or never feels lonely,Percent,53.3
194,Prince Edward Island,Men,Rarely or never feels lonely,Percent,68.6
198,Prince Edward Island,Women,Always or often feels lonely,Percent,14.4
199,Prince Edward Island,Women,Always or often feels lonely,Percent,9.8
200,Prince Edward Island,Women,Always or often feels lonely,Percent,20.2
204,Prince Edward Island,Women,Sometimes feels lonely,Percent,35.5
205,Prince Edward Island,Women,Sometimes feels lonely,Percent,28.7
206,Prince Edward Island,Women,Sometimes feels lonely,Percent,42.7
210,Prince Edward Island,Women,Rarely or never feels lonely,Percent,50.1
211,Prince Edward Island,Women,Rarely or never feels lonely,Percent,42.8
212,Prince Edward Island,Women,Rarely or never feels lonely,Percent,57.3
234,Nova Scotia,Men,Always or often feels lonely,Percent,10.6
235,Nova Scotia,Men,Always or often feels lonely,Percent,6.4
236,Nova Scotia,Men,Always or often feels lonely,Percent,16.3
240,Nova Scotia,Men,Sometimes feels lonely,Percent,29.7
241,Nova Scotia,Men,Sometimes feels lonely,Percent,22.4
242,Nova Scotia,Men,Sometimes feels lonely,Percent,37.8
246,Nova Scotia,Men,Rarely or never feels lonely,Percent,59.7
247,Nova Scotia,Men,Rarely or never feels lonely,Percent,51.6
248,Nova Scotia,Men,Rarely or never feels lonely,Percent,67.5
252,Nova Scotia,Women,Always or often feels lonely,Percent,17.0
253,Nova Scotia,Women,Always or often feels lonely,Percent,11.9
254,Nova Scotia,Women,Always or often feels lonely,Percent,23.2
258,Nova Scotia,Women,Sometimes feels lonely,Percent,38.9
259,Nova Scotia,Women,Sometimes feels lonely,Percent,32.2
260,Nova Scotia,Women,Sometimes feels lonely,Percent,45.9
264,Nova Scotia,Women,Rarely or never feels lonely,Percent,44.0
265,Nova Scotia,Women,Rarely or never feels lonely,Percent,37.5
266,Nova Scotia,Women,Rarely or never feels lonely,Percent,50.8
288,New Brunswick,Men,Always or often feels lonely,Percent,12.8
289,New Brunswick,Men,Always or often feels lonely,Percent,8.2
290,New Brunswick,Men,Always or often feels lonely,Percent,18.9
294,New Brunswick,Men,Sometimes feels lonely,Percent,32.5
295,New Brunswick,Men,Sometimes feels lonely,Percent,25.4
296,New Brunswick,Men,Sometimes feels lonely,Percent,40.2
300,New Brunswick,Men,Rarely or never feels lonely,Percent,54.7
301,New Brunswick,Men,Rarely or never feels lonely,Percent,47.2
302,New Brunswick,Men,Rarely or never feels lonely,Percent,62.0
306,New Brunswick,Women,Always or often feels lonely,Percent,19.0
